일자,평균기압(hPa),평균 상대습도(%),평균 기온(°C),평균 수온(°C),평균 유의 파고(m),갈치(상) 어획량,갈치(중) 어획량,갈치(하) 어획량,고등어(상) 어획량,고등어(중) 어획량,고등어(하) 어획량,갈고등어 어획량,갑오징어 어획량,오징어A 어획량,갈치(상) 단가,갈치(중) 단가,갈치(하) 단가,고등어(상) 단가,고등어(중) 단가,고등어(하) 단가,갈고등어 단가,갑오징어 단가,오징어A 단가
2022-01-06,1024.9,51.0,8.9,16.1,1.2,3348.0,18.0,4464.0,1458.0,8460.0,32760.0,324780.0,3654.0,144.0,12323.0,3333.0,1713.0,6279.0,5304.0,3911.0,874.0,8593.0,9201.0
2022-01-08,1022.7,42.0,9.0,15.5,0.7,0.0,0.0,36.0,1656.0,6048.0,34434.0,424656.0,0.0,112.0,0.0,0.0,2278.0,5473.0,4911.0,3863.0,707.0,0.0,3982.0
2022-01-10,1018.3,67.0,9.5,16.1,0.7,4374.0,828.0,6264.0,2448.0,25560.0,72684.0,452430.0,1620.0,446.0,11469.0,4312.0,1415.0,6188.0,3850.0,2479.0,738.0,6693.0,3296.0
2022-01-11,1015.5,52.0,4.6,15.6,1.1,3078.0,3834.0,8010.0,774.0,8082.0,52380.0,743880.0,4914.0,222.0,11564.0,4087.0,1466.0,7968.0,5428.0,3461.0,752.0,7825.0,4910.0
2022-01-12,1019.6,51.0,2.0,15.0,1.4,52038.0,1908.0,5580.0,1566.0,7470.0,55494.0,806118.0,1170.0,108.0,14233.0,3784.0,1328.0,8578.0,5812.0,3743.0,748.0,6022.0,5944.0
2022-01-13,1018.4,49.0,2.5,15.0,1.7,167562.0,1710.0,4212.0,234.0,1386.0,14778.0,191952.0,3546.0,0.0,12648.0,4938.0,1489.0,9564.0,7466.0,4712.0,995.0,8338.0,0.0
2022-01-14,1023.8,43.0,3.3,14.8,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8184.0,5000.0
2022-01-15,1022.0,49.0,8.0,14.7,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-17,1024.7,48.0,4.1,14.1,0.9,57600.0,4302.0,126.0,6660.0,7128.0,8028.0,79830.0,108.0,0.0,13756.0,3432.0,1032.0,8886.0,8906.0,7834.0,1230.0,6713.0,0.0
2022-01-18,1025.9,40.0,3.1,14.3,1.0,6030.0,18.0,72.0,828.0,4248.0,6912.0,13590.0,2736.0,314.0,17372.0,3889.0,1667.0,11184.0,8290.0,5790.0,1929.0,9541.0,5764.0
2022-01-19,1022.5,49.0,4.9,14.5,1.2,432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500.0
2022-01-20,1025.4,52.0,4.4,14.7,1.7,11178.0,3492.0,144.0,432.0,2160.0,10908.0,32832.0,1224.0,770.0,13945.0,3530.0,1111.0,16019.0,9095.0,6580.0,2168.0,9220.0,6718.0
2022-01-22,1025.5,64.0,9.9,14.8,1.1,72.0,0.0,0.0,1044.0,3636.0,30384.0,20160.0,0.0,0.0,12778.0,0.0,0.0,8649.0,6553.0,4565.0,2373.0,0.0,0.0
2022-01-24,1020.5,67.0,8.9,14.4,2.1,11610.0,2646.0,8550.0,1998.0,8190.0,25740.0,38934.0,576.0,596.0,10695.0,4718.0,1480.0,7214.0,5862.0,5160.0,1591.0,5278.0,5253.0
2022-01-25,1020.7,67.0,9.0,14.0,1.0,26946.0,2322.0,8442.0,0.0,0.0,0.0,52338.0,2484.0,0.0,11850.0,3635.0,1681.0,0.0,0.0,0.0,751.0,7053.0,0.0
2022-01-26,1022.5,54.0,8.1,13.7,0.7,6642.0,3636.0,1854.0,0.0,0.0,0.0,234.0,702.0,20.0,10726.0,2368.0,1578.0,0.0,0.0,0.0,1500.0,8048.0,15500.0
2022-01-27,1021.7,51.0,8.3,13.6,0.6,183258.0,9828.0,10890.0,972.0,12600.0,67662.0,577098.0,2898.0,252.0,12448.0,4430.0,1724.0,10883.0,6004.0,4019.0,924.0,9659.0,5317.0
2022-01-28,1021.0,39.0,7.1,13.8,0.8,32490.0,9216.0,12744.0,2304.0,23382.0,48312.0,1065000.0,1206.0,416.0,10019.0,3710.0,1674.0,7937.0,4564.0,3510.0,817.0,8307.0,5399.0
2022-01-29,1018.5,41.0,5.9,14.4,0.9,76626.0,1548.0,540.0,2880.0,9036.0,69444.0,771498.0,0.0,18.0,12325.0,3672.0,2224.0,6225.0,4333.0,2821.0,835.0,0.0,2111.0
2022-01-30,1018.7,42.0,5.8,14.7,0.9,48312.0,6318.0,1692.0,666.0,2376.0,21042.0,210420.0,0.0,0.0,10372.0,4648.0,2008.0,4955.0,4068.0,3144.0,921.0,0.0,0.0
2022-02-05,1023.9,49.0,1.6,12.7,0.9,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,252.0,0.0,0.0,615.0,0.0,0.0,0.0,0.0,0.0,2607.0
2022-02-07,1026.1,45.0,3.9,13.1,0.8,20070.0,630.0,3636.0,0.0,0.0,0.0,108.0,324.0,220.0,10877.0,3643.0,1868.0,0.0,0.0,0.0,1343.0,9244.0,8000.0
2022-02-08,1025.1,44.0,6.2,13.7,0.7,119808.0,1116.0,1818.0,774.0,2952.0,21078.0,275130.0,180.0,0.0,13271.0,3889.0,1562.0,15065.0,9015.0,6883.0,1325.0,7061.0,0.0
2022-02-09,1023.8,56.0,8.1,13.7,0.8,12924.0,396.0,90.0,2754.0,21690.0,53388.0,510156.0,0.0,362.0,13402.0,4874.0,1533.0,9202.0,6446.0,5116.0,1073.0,0.0,4950.0
2022-02-10,1020.6,48.0,9.3,14.1,0.7,101898.0,630.0,15714.0,108.0,3258.0,10764.0,111510.0,0.0,256.0,13862.0,3841.0,12910.0,7778.0,6565.0,5295.0,1246.0,0.0,3160.0
2022-02-11,1024.4,46.0,8.8,14.5,0.8,103428.0,792.0,576.0,0.0,6732.0,10296.0,163422.0,0.0,116.0,14912.0,5124.0,2734.0,0.0,7232.0,5639.0,1276.0,0.0,3491.0
2022-02-12,1023.5,55.0,10.1,13.8,0.7,33912.0,90.0,198.0,126.0,252.0,2232.0,24552.0,3222.0,148.0,15111.0,3889.0,1414.0,9127.0,8143.0,5785.0,1457.0,10075.0,3514.0
2022-02-14,1018.8,68.0,10.3,13.0,1.6,828.0,342.0,972.0,4320.0,34326.0,103032.0,118278.0,1026.0,5856.0,9481.0,4415.0,1893.0,5451.0,4584.0,3856.0,1419.0,7224.0,3331.0
2022-02-15,1018.3,55.0,4.8,13.2,1.1,10.0,272.0,40.0,2358.0,5130.0,29700.0,49014.0,0.0,2980.0,10000.0,3713.0,1800.0,5192.0,4408.0,4163.0,1130.0,0.0,3066.0
2022-02-16,1021.1,51.0,0.8,12.5,1.1,3474.0,1674.0,2916.0,0.0,0.0,0.0,1404.0,864.0,0.0,9574.0,2944.0,1500.0,0.0,0.0,0.0,844.0,6644.0,0.0
2022-02-17,1026.1,42.0,0.0,12.4,1.3,198.0,54.0,18.0,0.0,0.0,0.0,0.0,432.0,0.0,7652.0,4259.0,1667.0,0.0,0.0,0.0,0.0,7662.0,0.0
2022-02-18,1028.2,61.0,5.8,12.4,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-19,1020.5,56.0,7.5,12.7,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3667.0
2022-02-21,1029.7,46.0,1.9,12.9,1.0,846.0,270.0,1314.0,0.0,0.0,16938.0,0.0,486.0,184.0,9684.0,5481.0,1607.0,0.0,0.0,1334.0,0.0,7037.0,1978.0
2022-02-22,1029.6,46.0,2.6,12.8,1.3,378.0,288.0,648.0,0.0,0.0,0.0,7884.0,504.0,0.0,9810.0,4656.0,2278.0,0.0,0.0,0.0,1639.0,7024.0,0.0
2022-02-23,1029.2,44.0,2.7,12.8,1.2,0.0,0.0,0.0,1890.0,5238.0,16272.0,6642.0,0.0,0.0,0.0,0.0,0.0,10928.0,8318.0,7954.0,5450.0,0.0,0.0
2022-03-31,1022.2,82.0,12.2,14.2,1.6,4860.0,1440.0,12654.0,0.0,252.0,900.0,324.0,36.0,108.0,15606.0,4494.0,1726.0,0.0,13591.0,10911.0,7528.0,6778.0,4259.0
2022-04-02,1027.1,59.0,11.8,14.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12917.0,0.0
2022-04-04,1027.1,71.0,13.0,13.8,0.4,1314.0,1548.0,5004.0,108.0,6354.0,11052.0,12978.0,3096.0,240.0,12686.0,4598.0,1421.0,6944.0,8002.0,7183.0,2625.0,14336.0,4167.0
2022-04-05,1021.8,68.0,12.9,13.5,0.6,576.0,1134.0,4212.0,252.0,2520.0,4500.0,14508.0,2178.0,0.0,7330.0,4515.0,1155.0,9921.0,8484.0,6503.0,2077.0,14316.0,0.0
2022-04-06,1020.0,59.0,14.3,14.7,0.5,0.0,0.0,18.0,1620.0,2322.0,4428.0,5706.0,1404.0,18.0,0.0,0.0,833.0,8114.0,7698.0,6625.0,3024.0,14564.0,2333.0
2022-04-07,1016.6,73.0,14.9,15.9,0.7,54.0,18.0,0.0,0.0,18.0,270.0,3168.0,0.0,0.0,9167.0,3889.0,0.0,0.0,8056.0,4244.0,2216.0,0.0,0.0
2022-04-08,1019.9,71.0,15.0,16.0,0.7,2106.0,648.0,2610.0,216.0,666.0,2142.0,1404.0,414.0,0.0,11045.0,3696.0,1896.0,7352.0,8769.0,7241.0,3413.0,7671.0,0.0
2022-04-09,1017.5,88.0,14.9,15.2,0.5,18.0,288.0,36.0,0.0,0.0,0.0,234.0,18.0,0.0,9444.0,4889.0,2639.0,0.0,0.0,0.0,974.0,1500.0,0.0
2022-04-11,1015.0,95.0,15.8,14.5,0.5,756.0,2970.0,0.0,0.0,648.0,738.0,5472.0,3870.0,0.0,10090.0,3913.0,0.0,0.0,10937.0,7360.0,1963.0,14004.0,0.0
2022-04-14,1016.1,85.0,12.9,15.5,2.8,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4889.0,556.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-15,1016.1,69.0,12.7,15.3,2.7,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-16,1017.5,62.0,12.8,15.4,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-18,1017.1,68.0,15.3,16.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-19,1016.8,60.0,16.3,15.8,0.3,216.0,252.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,6944.0,5111.0,0.0,0.0,0.0,0.0,0.0,13827.0,0.0
2022-04-20,1016.4,69.0,15.7,15.0,0.3,216.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500.0,5278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-21,1014.0,84.0,14.9,15.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1062.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14896.0,0.0
2022-04-23,1012.9,90.0,15.2,14.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9112.0,0.0
2022-04-25,1011.3,95.0,16.4,15.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11050.0,0.0
2022-04-26,1003.2,99.0,16.5,14.9,1.9,0.0,54.0,36.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,3889.0,2556.0,0.0,0.0,0.0,0.0,10333.0,0.0
2022-04-27,1014.2,79.0,16.2,15.1,1.5,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2056.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-30,1017.4,73.0,14.3,16.1,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-02,1013.8,66.0,14.9,15.3,0.7,108.0,0.0,0.0,0.0,0.0,0.0,252.0,18.0,0.0,10324.0,0.0,0.0,0.0,0.0,0.0,2190.0,8611.0,0.0
2022-05-03,1020.0,78.0,14.2,15.5,0.6,252.0,180.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,8333.0,5000.0,0.0,0.0,0.0,0.0,0.0,13978.0,0.0
2022-05-05,1019.9,87.0,16.3,15.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-06,1016.7,88.0,17.7,16.1,0.4,0.0,0.0,18.0,0.0,0.0,0.0,0.0,684.0,0.0,0.0,0.0,2056.0,0.0,0.0,0.0,0.0,11026.0,0.0
2022-05-07,1016.6,86.0,17.1,15.8,0.7,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8444.0,0.0,0.0
2022-05-11,1015.1,88.0,17.5,16.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-12,1011.1,94.0,17.9,17.3,0.7,0.0,0.0,0.0,0.0,198.0,414.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,12955.0,10845.0,5317.0,0.0,0.0
2022-05-13,1007.9,89.0,17.4,18.3,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-14,1011.1,68.0,18.1,18.4,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-16,1012.7,68.0,17.0,17.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8830.0,0.0
2022-05-17,1015.1,80.0,17.4,17.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10654.0,0.0
2022-05-18,1018.4,85.0,17.3,16.4,0.4,18.0,54.0,18.0,0.0,0.0,0.0,0.0,594.0,0.0,5556.0,3722.0,1111.0,0.0,0.0,0.0,0.0,10268.0,0.0
2022-05-19,1018.3,79.0,17.4,15.9,0.4,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,556.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-20,1013.9,87.0,17.6,16.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-23,1013.0,90.0,19.2,18.3,0.5,36.0,0.0,630.0,324.0,738.0,2412.0,10404.0,612.0,0.0,10000.0,0.0,2019.0,9167.0,8302.0,6873.0,2608.0,9181.0,0.0
2022-05-24,1013.2,92.0,20.0,19.2,0.3,1062.0,1422.0,4716.0,234.0,414.0,1080.0,7902.0,432.0,0.0,7608.0,3444.0,1655.0,10833.0,9372.0,7946.0,2714.0,9236.0,0.0
2022-05-25,1009.3,91.0,19.3,18.5,0.4,18.0,90.0,0.0,756.0,1278.0,4554.0,11592.0,1674.0,0.0,8611.0,3222.0,0.0,9286.0,8697.0,6076.0,3237.0,5357.0,0.0
2022-05-26,1004.1,88.0,18.6,18.1,0.6,0.0,0.0,18.0,0.0,0.0,0.0,0.0,342.0,0.0,0.0,0.0,3056.0,0.0,0.0,0.0,0.0,8865.0,0.0
2022-05-27,1002.1,77.0,18.7,16.8,0.9,252.0,162.0,360.0,1314.0,2988.0,15138.0,25218.0,126.0,0.0,9683.0,2889.0,2611.0,6317.0,6396.0,5188.0,2587.0,5159.0,0.0
2022-05-28,1006.8,86.0,18.3,16.7,0.7,108.0,234.0,0.0,918.0,2988.0,10134.0,10836.0,0.0,0.0,10556.0,4188.0,0.0,4621.0,4028.0,4064.0,2761.0,0.0,0.0
2022-05-30,1001.7,87.0,19.3,18.0,0.6,252.0,576.0,378.0,1134.0,3474.0,24768.0,26532.0,0.0,0.0,7837.0,3901.0,1944.0,5220.0,4687.0,3359.0,1702.0,0.0,0.0
2022-05-31,1008.0,76.0,19.7,18.2,0.6,108.0,504.0,0.0,828.0,2214.0,9522.0,7992.0,0.0,0.0,10139.0,3651.0,0.0,5870.0,5127.0,4710.0,3178.0,0.0,0.0
2022-06-02,1007.6,94.0,18.9,18.1,0.5,0.0,0.0,0.0,378.0,1008.0,2682.0,180.0,0.0,7740.0,0.0,0.0,0.0,5389.0,4444.0,3475.0,1889.0,0.0,3883.0
2022-06-03,1010.6,94.0,19.1,18.3,0.8,270.0,1116.0,36.0,0.0,270.0,1656.0,25272.0,18.0,11610.0,12500.0,4216.0,1944.0,0.0,11511.0,8042.0,2330.0,12778.0,3467.0
2022-06-04,1011.9,90.0,19.5,19.0,1.2,108.0,5130.0,11898.0,0.0,0.0,0.0,0.0,54.0,0.0,10648.0,4095.0,1769.0,0.0,0.0,0.0,0.0,8519.0,0.0
2022-06-06,999.8,86.0,19.4,18.9,1.8,1572.0,3162.0,12888.0,0.0,0.0,0.0,0.0,234.0,27058.0,8320.0,4052.0,1357.0,0.0,0.0,0.0,0.0,8675.0,2938.0
2022-06-08,1012.3,81.0,18.7,19.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-09,1014.1,82.0,19.4,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1944.0,5887.0
2022-06-10,1014.3,91.0,20.1,19.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4673.0
2022-06-11,1012.0,89.0,20.4,19.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3392.0
2022-06-13,1009.5,86.0,20.6,20.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3515.0
2022-06-14,1006.9,92.0,19.6,20.7,2.4,2910.0,5270.0,0.0,0.0,0.0,0.0,0.0,0.0,11394.0,15262.0,8910.0,0.0,0.0,0.0,0.0,0.0,0.0,3803.0
2022-06-15,1008.1,93.0,20.4,20.8,1.2,1740.0,5640.0,1240.0,0.0,0.0,0.0,0.0,0.0,0.0,15889.0,7547.0,2541.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-16,1008.6,95.0,20.8,20.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-17,1009.1,97.0,21.2,20.5,0.6,3250.0,5810.0,3110.0,0.0,0.0,0.0,0.0,0.0,10908.0,14469.0,7620.0,3230.0,0.0,0.0,0.0,0.0,0.0,5949.0
2022-06-18,1007.9,97.0,21.3,20.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5535.0
2022-06-20,1005.1,98.0,22.1,20.9,0.5,6516.0,6708.0,4346.0,2376.0,22824.0,44676.0,57960.0,0.0,40172.0,11526.0,7091.0,2937.0,5909.0,4492.0,3149.0,1403.0,0.0,2883.0
2022-06-21,1004.2,98.0,23.1,22.2,0.5,11016.0,3330.0,16866.0,2412.0,18378.0,83052.0,52002.0,0.0,13020.0,5258.0,3559.0,1686.0,5038.0,3494.0,2885.0,1658.0,0.0,2494.0
2022-06-22,1008.1,97.0,22.8,22.2,0.8,2394.0,4464.0,4374.0,2160.0,13230.0,49932.0,34578.0,0.0,20.0,4851.0,3670.0,2176.0,4763.0,3751.0,2770.0,1697.0,0.0,1000.0
2022-06-23,1004.8,98.0,23.5,21.6,1.3,432.0,2232.0,2538.0,288.0,3330.0,13068.0,10368.0,0.0,26658.0,8398.0,3056.0,1802.0,6583.0,4495.0,4640.0,2652.0,0.0,2383.0
2022-06-25,1007.6,98.0,22.1,20.4,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
